accession	type	gene	product	parts
NC_069554.1	tRNA		tRNA-Met	15878-15949:-1
NC_069554.1	CDS	COX3	cytochrome c oxidase subunit III	15988-16774:-1
NC_069554.1	CDS	ATP6	ATP synthase F0 subunit 6	16838-17546:-1
NC_069554.1	CDS	ATP8	ATP synthase F0 subunit 8	17568-17784:-1
NC_069554.1	CDS	COX2	cytochrome c oxidase subunit II	17806-18568:-1
NC_068221.1	CDS	ND5	NADH dehydrogenase subunit 5	0-714:1,7171-8293:1
NC_068221.1	CDS	ND1	NADH dehydrogenase subunit 1	808-1771:1
NC_068221.1	CDS	ATP6	ATP synthase F0 subunit 6	1822-2521:1
NC_068221.1	CDS	ND4	NADH dehydrogenase subunit 4	2520-3966:1
NC_068221.1	rRNA		12S ribosomal RNA	3966-4989:1
NC_068221.1	CDS	COX3	cytochrome c oxidase subunit III	4989-5769:1
NC_068221.1	CDS	COX2	cytochrome c oxidase subunit II	5756-6482:1
NC_068221.1	CDS	ND4L	NADH dehydrogenase subunit 4L	6471-6771:1
NC_068221.1	CDS	ND3	NADH dehydrogenase subunit 3	6772-7117:1
NC_068221.1	CDS	CYTB	cytochrome b	8667-9807:1
NC_068221.1	CDS	ND2	NADH dehydrogenase subunit 2	9802-11119:1
NC_068221.1	CDS	ND6	NADH dehydrogenase subunit 6	11120-11684:1
NC_068221.1	tRNA		tRNA-Trp	11924-11994:1
NC_068221.1	CDS	ATP8	ATP synthase F0 subunit 8	11997-12156:1
NC_068221.1	CDS	COX1	cytochrome c oxidase subunit I	13035-14589:1
NC_068221.1	tRNA		tRNA-Met	14583-14655:1
NC_068221.1	rRNA		16S ribosomal RNA	14678-16536:1
NC_068220.1	CDS	ND5	NADH dehydrogenase subunit 5	0-714:1,7171-8293:1
NC_068220.1	CDS	ND1	NADH dehydrogenase subunit 1	808-1771:1
NC_068220.1	CDS	ATP6	ATP synthase F0 subunit 6	1822-2521:1
NC_068220.1	CDS	ND4	NADH dehydrogenase subunit 4	2520-3966:1
NC_068220.1	rRNA		12S ribosomal RNA	3966-4989:1
NC_068220.1	CDS	COX3	cytochrome c oxidase subunit III	4989-5769:1
NC_068220.1	CDS	COX2	cytochrome c oxidase subunit II	5756-6482:1
NC_068220.1	CDS	ND4L	NADH dehydrogenase subunit 4L	6471-6771:1
NC_068220.1	CDS	ND3	NADH dehydrogenase subunit 3	6772-7117:1
NC_068220.1	CDS	CYTB	cytochrome b	8667-9807:1
NC_068220.1	CDS	ND2	NADH dehydrogenase subunit 2	9802-11119:1
NC_068220.1	CDS	ND6	NADH dehydrogenase subunit 6	11120-11684:1
NC_068220.1	tRNA		tRNA-Trp	11924-11994:1
NC_068220.1	CDS	ATP8	ATP synthase F0 subunit 8	11997-12156:1
NC_068220.1	CDS	COX1	cytochrome c oxidase subunit I	13035-14589:1
NC_068220.1	tRNA		tRNA-Met	14583-14655:1
NC_068220.1	rRNA		16S ribosomal RNA	14678-16536:1
NC_060802.1	tRNA		tRNA-Met	0-72:1
NC_060802.1	rRNA		16S ribosomal RNA	110-2155:1
NC_060802.1	CDS	ND5	NADH dehydrogenase subunit 5	2155-2866:1,13384-14488:1
NC_060802.1	CDS	ND1	NADH dehydrogenase subunit 1	2974-3922:1
NC_060802.1	CDS	CYTB	cytochrome b	3924-5064:1
NC_060802.1	CDS	ND2	NADH dehydrogenase subunit 2	5089-6376:1
NC_060802.1	CDS	ND6	NADH dehydrogenase subunit 6	6377-6938:1
NC_060802.1	CDS	ATP6	ATP synthase F0 subunit 6	6937-7615:1
NC_060802.1	CDS	ND4	NADH dehydrogenase subunit 4	7614-9054:1
NC_060802.1	rRNA		12S ribosomal RNA	9185-10086:1
NC_060802.1	CDS	COX3	cytochrome c oxidase subunit III	10245-11025:1
NC_060802.1	CDS	COX2	cytochrome c oxidase subunit II	11995-12703:1
NC_060802.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12684-12984:1
NC_060802.1	CDS	ND3	NADH dehydrogenase subunit 3	12986-13328:1
NC_060802.1	tRNA		tRNA-Trp	14486-14556:1
NC_060802.1	CDS	ATP8	ATP synthase F0 subunit 8	14559-14757:1
NC_060802.1	CDS	COX1	cytochrome c oxidase subunit I	14756-15485:1,16561-17386:1
NC_060606.1	CDS	ND5	NADH dehydrogenase subunit 5	0-719:1,12002-13119:1
NC_060606.1	CDS	ND1	NADH dehydrogenase subunit 1	1052-2036:1
NC_060606.1	CDS	CYTB	cytochrome b	2163-3327:1
NC_060606.1	CDS	ND2	NADH dehydrogenase subunit 2	3965-5063:1
NC_060606.1	CDS	ND6	NADH dehydrogenase subunit 6	5096-5690:1
NC_060606.1	CDS	ATP6	ATP synthase F0 subunit 6	5772-6471:1
NC_060606.1	CDS	ND4	NADH dehydrogenase subunit 4	6757-8233:1
NC_060606.1	rRNA		12S ribosomal RNA	8323-9391:1
NC_060606.1	CDS	COX3	cytochrome c oxidase subunit III	9607-10396:1
NC_060606.1	CDS	COX2	cytochrome c oxidase subunit II	10433-11177:1
NC_060606.1	CDS	ND4L	NADH dehydrogenase subunit 4L	11229-11529:1
NC_060606.1	CDS	ND3	NADH dehydrogenase subunit 3	11547-11904:1
NC_060606.1	tRNA		tRNA-Trp	13159-13229:1
NC_060606.1	CDS		ATP synthase F0 subunit 8	13261-13477:1
NC_060606.1	CDS	COX1	cytochrome c oxidase subunit I	13601-14494:1,15458-16143:1
NC_060606.1	tRNA		tRNA-Met	16264-16336:1
NC_060606.1	rRNA		16S ribosomal RNA	16371-18624:1
NC_059856.1	rRNA	rrnL	16S ribosomal RNA	0-2154:1
NC_059856.1	CDS	ND2	NADH dehydrogenase subunit 2	2158-3310:1
NC_059856.1	CDS	ND5	NADH dehydrogenase subunit 5	3297-5115:1
NC_059856.1	CDS	ND4	NADH dehydrogenase subunit 4	5629-7078:1
NC_059856.1	tRNA	trnM	tRNA-Met	7134-7205:1
NC_059856.1	CDS	COX3	cytochrome c oxidase subunit III	7244-8030:-1
NC_059856.1	CDS	ATP6	ATP synthase F0 subunit 6	8094-8802:-1
NC_059856.1	CDS	ATP8	ATP synthase F0 subunit 8	8825-9041:-1
NC_059856.1	CDS	COX2	cytochrome c oxidase subunit II	9063-9825:-1
NC_059856.1	CDS	COX1	cytochrome c oxidase subunit I	9937-11641:1
NC_059856.1	rRNA	rrnS	12S ribosomal RNA	11685-12611:1
NC_059856.1	CDS	ND1	NADH dehydrogenase subunit 1	12613-13585:1
NC_059856.1	CDS	CYTB	cytochrome b	13636-14773:1
NC_059856.1	CDS	ND6	NADH dehydrogenase subunit 6	15197-15755:1
NC_059856.1	CDS	ND3	NADH dehydrogenase subunit 3	15798-16152:1
NC_059856.1	CDS	ND4L	NADH dehydrogenase subunit 4L	16171-16465:1
NC_059856.1	CDS	msh1	MutS-like protein	16478-19436:1
NC_059855.1	rRNA	rrnL	16S ribosomal RNA	0-2180:1
NC_059855.1	CDS	ND2	NADH dehydrogenase subunit 2	2180-3338:1
NC_059855.1	CDS	ND5	NADH dehydrogenase subunit 5	3325-5143:1
NC_059855.1	CDS	ND4	NADH dehydrogenase subunit 4	5173-6622:1
NC_059855.1	tRNA	trnM	tRNA-Met	6741-6812:1
NC_059855.1	CDS	COX3	cytochrome c oxidase subunit III	6876-7662:-1
NC_059855.1	CDS	ATP6	ATP synthase F0 subunit 6	7719-8427:-1
NC_059855.1	CDS	ATP8	ATP synthase F0 subunit 8	8460-8676:-1
NC_059855.1	CDS	COX2	cytochrome c oxidase subunit II	8717-9479:-1
NC_059855.1	CDS	COX1	cytochrome c oxidase subunit I	9623-11192:1
NC_059855.1	rRNA	rrnS	12S ribosomal RNA	11397-12325:1
NC_059855.1	CDS	ND1	NADH dehydrogenase subunit 1	12349-13330:1
NC_059855.1	CDS	CYTB	cytochrome b	13343-14504:1
NC_059855.1	CDS	ND6	NADH dehydrogenase subunit 6	14522-15077:1
NC_059855.1	CDS	ND3	NADH dehydrogenase subunit 3	15141-15495:1
NC_059855.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15498-15792:1
NC_059855.1	CDS	msh1	MutS-like protein	15805-18805:1
NC_057590.1	CDS	COX1	cytochrome c oxidase subunit I	0-1582:1
NC_057590.1	rRNA	rrnS	12S ribosomal RNA	1588-2634:1
NC_057590.1	CDS	ND1	NADH dehydrogenase subunit 1	2677-3649:1
NC_057590.1	CDS	CYTB	cytochrome b	3682-4843:1
NC_057590.1	CDS	ND6	NADH dehydrogenase subunit 6	4873-5431:1
NC_057590.1	CDS	ND3	NADH dehydrogenase subunit 3	5475-5829:1
NC_057590.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5848-6142:1
NC_057590.1	CDS	mutS	MutS-like protein	6155-9137:1
NC_057590.1	rRNA	rrnL	16S ribosomal RNA	9146-11358:1
NC_057590.1	CDS	ND2	NADH dehydrogenase subunit 2	11362-12520:1
NC_057590.1	CDS	ND5	NADH dehydrogenase subunit 5	12507-14325:1
NC_057590.1	CDS	ND4	NADH dehydrogenase subunit 4	14421-15870:1
NC_057590.1	tRNA	trnM	tRNA-Met	15926-15997:-1
NC_057590.1	CDS	COX3	cytochrome c oxidase subunit III	16036-16822:-1
NC_057590.1	CDS	ATP6	ATP synthase F0 subunit 6	16886-17594:-1
NC_057590.1	CDS	ATP8	ATP synthase F0 subunit 8	17618-17834:-1
NC_057590.1	CDS	COX2	cytochrome c oxidase subunit II	17856-18618:-1
NC_056884.1	tRNA		tRNA-Met	0-71:1
NC_056884.1	rRNA		16S ribosomal RNA	107-2360:1
NC_056884.1	CDS	ND5	NADH dehydrogenase subunit 5	2790-3510:1,14833-15949:1
NC_056884.1	CDS	ND1	NADH dehydrogenase subunit 1	3842-4826:1
NC_056884.1	CDS	CYTB	cytochrome b	4953-6117:1
NC_056884.1	CDS	ND2	NADH dehydrogenase subunit 2	6755-7853:1
NC_056884.1	CDS	ND6	NADH dehydrogenase subunit 6	7886-8480:1
NC_056884.1	CDS	ATP6	ATP synthase F0 subunit 6	8562-9261:1
NC_056884.1	CDS	ND4	NADH dehydrogenase subunit 4	9562-11038:1
NC_056884.1	rRNA		12S ribosomal RNA	11151-12216:1
NC_056884.1	CDS	COX3	cytochrome c oxidase subunit III	12435-13224:1
NC_056884.1	CDS	COX2	cytochrome c oxidase subunit II	13261-14005:1
NC_056884.1	CDS	ND4L	NADH dehydrogenase subunit 4L	14058-14358:1
NC_056884.1	CDS	ND3	NADH dehydrogenase subunit 3	14377-14734:1
NC_056884.1	tRNA		tRNA-Trp	15988-16058:1
NC_056884.1	CDS	ATP8	ATP synthase F0 subunit 8	16091-16307:1
NC_056884.1	CDS	COX1	cytochrome c oxidase subunit I	16430-17324:1,18288-18972:1
NC_056883.1	tRNA		tRNA-Met	0-71:1
NC_056883.1	rRNA		16S ribosomal RNA	107-2360:1
NC_056883.1	CDS	ND5	NADH dehydrogenase subunit 5	2790-3510:1,14825-15941:1
NC_056883.1	CDS	ND1	NADH dehydrogenase subunit 1	3842-4826:1
NC_056883.1	CDS	CYTB	cytochrome b	4953-6117:1
NC_056883.1	CDS	ND2	NADH dehydrogenase subunit 2	6755-7853:1
NC_056883.1	CDS	ND6	NADH dehydrogenase subunit 6	7886-8480:1
NC_056883.1	CDS	ATP6	ATP synthase F0 subunit 6	8562-9261:1
NC_056883.1	CDS	ND4	NADH dehydrogenase subunit 4	9562-11038:1
NC_056883.1	rRNA		12S ribosomal RNA	11151-12216:1
NC_056883.1	CDS	COX3	cytochrome c oxidase subunit III	12429-13218:1
NC_056883.1	CDS	COX2	cytochrome c oxidase subunit II	13255-13999:1
NC_056883.1	CDS	ND4L	NADH dehydrogenase subunit 4L	14052-14352:1
NC_056883.1	CDS	ND3	NADH dehydrogenase subunit 3	14369-14726:1
NC_056883.1	tRNA		tRNA-Trp	15980-16050:1
NC_056883.1	CDS	ATP8	ATP synthase F0 subunit 8	16083-16299:1
NC_056883.1	CDS	COX1	cytochrome c oxidase subunit I	16422-17316:1,18280-18964:1
NC_056771.1	CDS	ND5	NADH dehydrogenase subunit 5	0-717:1,2447-3902:1
NC_056771.1	CDS	ND1	NADH dehydrogenase subunit 1	939-1923:1
NC_056771.1	CDS	ND3	NADH dehydrogenase subunit 3	1929-2286:1
NC_056771.1	tRNA	trnW	tRNA-Trp	4025-4095:1
NC_056771.1	CDS	ND2	NADH dehydrogenase subunit 2	4389-5547:1
NC_056771.1	rRNA	ssurRNA	small subunit ribosomal RNA	5596-6661:1
NC_056771.1	CDS	COX2	cytochrome c oxidase subunit II	7274-8021:1
NC_056771.1	CDS	ND4	NADH dehydrogenase subunit 4	8829-10299:1
NC_056771.1	CDS	ND6	NADH dehydrogenase subunit 6	10303-10912:1
NC_056771.1	CDS	CYTB	cytochrome b	10939-12130:1
NC_056771.1	tRNA	trnM	tRNA-Met	12204-12275:1
NC_056771.1	rRNA	lsurRNA	large subunit ribosomal RNA	12275-14453:1
NC_056771.1	CDS	COX3	cytochrome c oxidase subunit III	14521-15310:1
NC_056771.1	CDS	COX1	cytochrome c oxidase subunit I	15386-16279:1,17126-17859:1
NC_056771.1	CDS	heg	homing endonuclease	16430-17126:1
NC_056771.1	CDS	ND4L	NADH dehydrogenase subunit 4L	18515-18815:1
NC_056771.1	CDS	ATP8	ATP synthase F0 subunit 8	18838-19054:1
NC_056771.1	CDS	ATP6	ATP synthase F0 subunit 6	19084-19774:1
NC_056290.1	CDS	ND5	NADH dehydrogenase subunit 5	0-720:1,11845-12961:1
NC_056290.1	CDS	ND1	NADH dehydrogenase subunit 1	1002-1983:1
NC_056290.1	CDS	CYTB	cytochrome b	2054-3251:1
NC_056290.1	CDS	ND2	NADH dehydrogenase subunit 2	3623-4721:1
NC_056290.1	CDS	ND6	NADH dehydrogenase subunit 6	4788-5403:1
NC_056290.1	CDS	ATP6	ATP synthase F0 subunit 6	5426-6125:1
NC_056290.1	CDS	ND4	NADH dehydrogenase subunit 4	6203-7655:1
NC_056290.1	rRNA		12S ribosomal RNA	7653-9217:1
NC_056290.1	CDS	COX3	cytochrome c oxidase subunit III	9343-10132:1
NC_056290.1	CDS	COX2	cytochrome c oxidase subunit II	10173-10911:1
NC_056290.1	CDS	ND4L	NADH dehydrogenase subunit 4L	11073-11373:1
NC_056290.1	CDS	ND3	NADH dehydrogenase subunit 3	11390-11747:1
NC_056290.1	tRNA		tRNA-Trp	13065-13135:1
NC_056290.1	CDS	ATP8	ATP synthase F0 subunit 8	13171-13435:1
NC_056290.1	CDS	COX1	cytochrome c oxidase subunit I	13416-14310:1,15451-16141:1
NC_056290.1	tRNA		tRNA-Met	16859-16943:1
NC_056290.1	rRNA		16S ribosomal RNA	16945-19345:1
NC_056275.1	CDS	ND5	NADH dehydrogenase subunit 5	0-672:1,10636-11698:1
NC_056275.1	CDS	ND1	NADH dehydrogenase subunit 1	824-1799:1
NC_056275.1	CDS	CYTB	cytochrome b	1801-2947:1
NC_056275.1	CDS	ND2	NADH dehydrogenase subunit 2	3161-4280:1
NC_056275.1	CDS	ND6	NADH dehydrogenase subunit 6	4281-4881:1
NC_056275.1	CDS	ATP6	ATP synthase F0 subunit 6	4946-5576:1
NC_056275.1	CDS	ND4	NADH dehydrogenase subunit 4	5623-7048:1
NC_056275.1	tRNA		tRNA-Met	7210-7281:1
NC_056275.1	rRNA		small subunit ribosomal RNA	7280-8264:1
NC_056275.1	CDS	COX3	cytochrome c oxidase subunit III	8263-9043:1
NC_056275.1	CDS	COX2	cytochrome c oxidase subunit II	9057-9843:1
NC_056275.1	CDS	ND4L	NADH dehydrogenase subunit 4L	9832-10132:1
NC_056275.1	CDS	ND3	NADH dehydrogenase subunit 3	10132-10489:1
NC_056275.1	tRNA		tRNA-Tyr	11707-11767:1
NC_056275.1	CDS	ATP8	ATP synthase F0 subunit 8	11781-11991:1
NC_056275.1	CDS	COX1	cytochrome c oxidase subunit I	11996-13562:1
NC_056275.1	rRNA		large subunit ribosomal RNA	15749-17440:1
NC_048963.1	CDS	COX1	cytochrome c oxidase subunit I	0-1582:1
NC_048963.1	rRNA		12S ribosomal RNA	1582-2674:1
NC_048963.1	CDS	ND1	NADH dehydrogenase subunit 1	2678-3650:1
NC_048963.1	CDS	CYTB	cytochrome b	3677-4844:1
NC_048963.1	CDS	ND6	NADH dehydrogenase subunit 6	4884-5442:1
NC_048963.1	CDS	ND3	NADH dehydrogenase subunit 3	5497-5851:1
NC_048963.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5870-6164:1
NC_048963.1	CDS	mutS	DNA mismatch repair protein MutS	6177-9156:1
NC_048963.1	rRNA		16S ribosomal RNA	9165-11079:1
NC_048963.1	CDS	ND2	NADH dehydrogenase subunit 2	11142-12516:1
NC_048963.1	CDS	ND5	NADH dehydrogenase subunit 5	12503-14321:1
NC_048963.1	CDS	ND4	NADH dehydrogenase subunit 4	14394-15843:1
NC_048963.1	tRNA		tRNA-Met	15906-15977:-1
NC_048963.1	CDS	COX3	cytochrome c oxidase subunit III	16016-16802:-1
NC_048963.1	CDS	ATP6	ATP synthase F0 subunit 6	16866-17574:-1
NC_048963.1	CDS	ATP8	ATP synthase F0 subunit 8	17598-17814:-1
NC_048963.1	CDS	COX2	cytochrome c oxidase subunit II	17836-18598:-1
NC_046843.1	CDS	COX1	cytochrome c oxidase subunit I	0-894:1,1796-2483:1
NC_046843.1	CDS	ND4L	NADH dehydrogenase subunit 4L	2566-2866:1
NC_046843.1	CDS	COX2	cytochrome c oxidase subunit II	2896-3646:1
NC_046843.1	CDS	ND4	NADH dehydrogenase subunit 4	3656-5132:1
NC_046843.1	CDS	ND6	NADH dehydrogenase subunit 6	5155-5779:1
NC_046843.1	CDS	ATP8	ATP synthase F0 subunit 8	5783-5996:1
NC_046843.1	CDS	ATP6	ATP synthase F0 subunit 6	6005-6704:1
NC_046843.1	CDS	ND5	NADH dehydrogenase subunit 5	6729-7449:1,9148-10279:1
NC_046843.1	CDS	ND1	NADH dehydrogenase subunit 1	7702-8686:1
NC_046843.1	CDS	ND3	NADH dehydrogenase subunit 3	8694-9051:1
NC_046843.1	tRNA		tRNA-Trp	10312-10382:1
NC_046843.1	CDS	ND2	NADH dehydrogenase subunit 2	10771-11887:1
NC_046843.1	rRNA		12S ribosomal RNA	12007-13155:1
NC_046843.1	CDS	CYTB	cytochrome b	13221-14358:1
NC_046843.1	tRNA		tRNA-Met	14417-14488:1
NC_046843.1	rRNA		16S ribosomal RNA	14536-16792:1
NC_046843.1	CDS	COX3	cytochrome c oxidase subunit III	16893-17682:1
NC_046690.1	tRNA	trnM	tRNA-Met	0-72:1
NC_046690.1	rRNA	rrnL	16S ribosomal RNA	298-1995:1
NC_046690.1	CDS	ND5	NADH dehydrogenase subunit 5	2045-2756:1,12998-14102:1
NC_046690.1	CDS	ND1	NADH dehydrogenase subunit 1	2865-3813:1
NC_046690.1	CDS	CYTB	cytochrome b	3821-4955:1
NC_046690.1	CDS	ND2	NADH dehydrogenase subunit 2	5163-6267:1
NC_046690.1	CDS	ND6	NADH dehydrogenase subunit 6	6268-6829:1
NC_046690.1	CDS	ATP6	ATP synthase F0 subunit 6	6828-7506:1
NC_046690.1	CDS	ND4	NADH dehydrogenase subunit 4	7505-8945:1
NC_046690.1	rRNA	rrnS	12S ribosomal RNA	9081-9991:1
NC_046690.1	CDS	COX3	cytochrome c oxidase subunit III	10144-10924:1
NC_046690.1	CDS	COX2	cytochrome c oxidase subunit II	11608-12316:1
NC_046690.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12297-12597:1
NC_046690.1	CDS	ND3	NADH dehydrogenase subunit 3	12599-12941:1
NC_046690.1	tRNA	trnW	tRNA-Trp	14100-14170:1
NC_046690.1	CDS	ATP8	ATP synthase F0 subunit 8	14173-14371:1
NC_046690.1	CDS	COX1	cytochrome c oxidase subunit I	14388-15930:1
NC_046475.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,2294-3011:1
NC_046475.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3073-3373:1
NC_046475.1	CDS	ATP8	ATP synthase F0 subunit 8	3493-3712:1
NC_046475.1	CDS	ATP6	ATP synthase F0 subunit 6	3885-4584:1
NC_046475.1	rRNA		small subunit ribosomal RNA	4716-5922:1
NC_046475.1	CDS	ND2	NADH dehydrogenase subunit 2	6363-7509:1
NC_046475.1	tRNA		tRNA-Met	7672-7743:1
NC_046475.1	rRNA		large subunit ribosomal RNA	7769-10474:1
NC_046475.1	CDS	ND5	NADH dehydrogenase subunit 5	10829-11546:1,13968-15099:1
NC_046475.1	CDS	ND1	NADH dehydrogenase subunit 1	12135-13125:1
NC_046475.1	CDS	ND3	NADH dehydrogenase subunit 3	13319-13676:1
NC_046475.1	CDS	COX2	cytochrome c oxidase subunit II	15271-16024:1
NC_046475.1	CDS	ND4	NADH dehydrogenase subunit 4	16359-17835:1
NC_046475.1	CDS	ND6	NADH dehydrogenase subunit 6	17987-18638:1
NC_046475.1	CDS	CYTB	cytochrome b	18928-20122:1
NC_046475.1	CDS	COX3	cytochrome c oxidase subunit III	20545-21334:1
NC_046474.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,2574-3291:1
NC_046474.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3337-3637:1
NC_046474.1	CDS	ATP8	ATP synthase F0 subunit 8	3679-3898:1
NC_046474.1	CDS	ATP6	ATP synthase F0 subunit 6	3969-4668:1
NC_046474.1	rRNA		small subunit ribosomal RNA	4848-6073:1
NC_046474.1	CDS	ND2	NADH dehydrogenase subunit 2	6543-7737:1
NC_046474.1	tRNA		tRNA-Met	7807-7878:1
NC_046474.1	rRNA		large subunit ribosomal RNA	7905-10561:1
NC_046474.1	CDS	ND5	NADH dehydrogenase subunit 5	10689-11421:1,13640-14771:1
NC_046474.1	CDS	ND1	NADH dehydrogenase subunit 1	11959-12949:1
NC_046474.1	CDS	ND3	NADH dehydrogenase subunit 3	13038-13395:1
NC_046474.1	CDS	COX2	cytochrome c oxidase subunit II	15022-15772:1
NC_046474.1	CDS	ND4	NADH dehydrogenase subunit 4	15825-17301:1
NC_046474.1	CDS	ND6	NADH dehydrogenase subunit 6	17427-18057:1
NC_046474.1	CDS	CYTB	cytochrome b	18259-19420:1
NC_046474.1	CDS	COX3	cytochrome c oxidase subunit III	19511-20300:1
NC_046465.1	CDS	COX1	cytochrome c oxidase subunit I	0-1597:1
NC_046465.1	rRNA		12S ribosomal RNA	1597-2709:1
NC_046465.1	CDS	ND1	NADH dehydrogenase subunit 1	2709-3690:1
NC_046465.1	CDS	CYTB	cytochrome b	3814-4975:1
NC_046465.1	CDS	ND6	NADH dehydrogenase subunit 6	4995-5559:1
NC_046465.1	CDS	ND3	NADH dehydrogenase subunit 3	5602-5956:1
NC_046465.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5984-6278:1
NC_046465.1	CDS	mutS	DNA mismatch repair protein MutS	6306-9258:1
NC_046465.1	rRNA		16S ribosomal RNA	9258-11504:1
NC_046465.1	CDS	ND2	NADH dehydrogenase subunit 2	11504-12644:1
NC_046465.1	CDS	ND5	NADH dehydrogenase subunit 5	12631-14449:1
NC_046465.1	CDS	ND4	NADH dehydrogenase subunit 4	14492-15941:1
NC_046465.1	tRNA		tRNA-Met	16239-16310:-1
NC_046465.1	CDS	COX3	cytochrome c oxidase subunit III	16339-17125:-1
NC_046465.1	CDS	ATP6	ATP synthase F0 subunit 6	17166-17874:-1
NC_046465.1	CDS	ATP8	ATP synthase F0 subunit 8	17894-18110:-1
NC_046465.1	CDS	COX2	cytochrome c oxidase subunit II	18131-18893:-1
NC_046406.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,2206-2923:1
NC_046406.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3063-3363:1
NC_046406.1	CDS	ATP8	ATP synthase F0 subunit 8	3408-3627:1
NC_046406.1	CDS	ATP6	ATP synthase F0 subunit 6	3842-4541:1
NC_046406.1	rRNA		small subunit ribosomal RNA	4778-5974:1
NC_046406.1	CDS	ND2	NADH dehydrogenase subunit 2	6422-7580:1
NC_046406.1	tRNA		tRNA-Met	7795-7866:1
NC_046406.1	rRNA		large subunit ribosomal RNA	7905-10543:1
NC_046406.1	CDS	ND5	NADH dehydrogenase subunit 5	10690-11422:1,13739-14870:1
NC_046406.1	CDS	ND1	NADH dehydrogenase subunit 1	11755-12769:1
NC_046406.1	CDS	ND3	NADH dehydrogenase subunit 3	13034-13391:1
NC_046406.1	CDS	COX2	cytochrome c oxidase subunit II	15490-16243:1
NC_046406.1	CDS	ND4	NADH dehydrogenase subunit 4	16638-18114:1
NC_046406.1	CDS	ND6	NADH dehydrogenase subunit 6	18116-18767:1
NC_046406.1	CDS	CYTB	cytochrome b	18856-20044:1
NC_046406.1	CDS	COX3	cytochrome c oxidase subunit III	20333-21122:1
NC_046405.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,2263-2980:1
NC_046405.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3032-3332:1
NC_046405.1	CDS	ATP8	ATP synthase F0 subunit 8	3418-3637:1
NC_046405.1	CDS	ATP6	ATP synthase F0 subunit 6	3828-4527:1
NC_046405.1	rRNA		small subunit ribosomal RNA	4659-5856:1
NC_046405.1	CDS	ND2	NADH dehydrogenase subunit 2	6291-7437:1
NC_046405.1	tRNA		tRNA-Met	7600-7671:1
NC_046405.1	rRNA		large subunit ribosomal RNA	7717-10461:1
NC_046405.1	CDS	ND5	NADH dehydrogenase subunit 5	10750-11467:1,13830-14961:1
NC_046405.1	CDS	ND1	NADH dehydrogenase subunit 1	12071-13061:1
NC_046405.1	CDS	ND3	NADH dehydrogenase subunit 3	13255-13612:1
NC_046405.1	CDS	COX2	cytochrome c oxidase subunit II	15133-15886:1
NC_046405.1	CDS	ND4	NADH dehydrogenase subunit 4	16151-17627:1
NC_046405.1	CDS	ND6	NADH dehydrogenase subunit 6	17769-18420:1
NC_046405.1	CDS	CYTB	cytochrome b	18603-19797:1
NC_046405.1	CDS	COX3	cytochrome c oxidase subunit III	20194-20983:1
NC_046404.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,2195-2912:1
NC_046404.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3049-3349:1
NC_046404.1	CDS	ATP8	ATP synthase F0 subunit 8	3394-3613:1
NC_046404.1	CDS	ATP6	ATP synthase F0 subunit 6	3866-4565:1
NC_046404.1	rRNA		small subunit ribosomal RNA	4788-5985:1
NC_046404.1	CDS	ND2	NADH dehydrogenase subunit 2	6457-7615:1
NC_046404.1	tRNA		tRNA-Met	7830-7901:1
NC_046404.1	rRNA		large subunit ribosomal RNA	7949-10644:1
NC_046404.1	CDS	ND5	NADH dehydrogenase subunit 5	10858-11590:1,13800-14931:1
NC_046404.1	CDS	ND1	NADH dehydrogenase subunit 1	11885-12899:1
NC_046404.1	CDS	ND3	NADH dehydrogenase subunit 3	13180-13537:1
NC_046404.1	CDS	COX2	cytochrome c oxidase subunit II	15511-16264:1
NC_046404.1	CDS	ND4	NADH dehydrogenase subunit 4	16686-18162:1
NC_046404.1	CDS	ND6	NADH dehydrogenase subunit 6	18164-18815:1
NC_046404.1	CDS	CYTB	cytochrome b	18921-20109:1
NC_046404.1	CDS	COX3	cytochrome c oxidase subunit III	20373-21162:1
NC_046401.1	CDS	COX1	cytochrome c oxidase subunit I	0-1566:1
NC_046401.1	CDS	ND4L	NADH dehydrogenase subunit 4L	1981-2281:1
NC_046401.1	CDS	ATP8	ATP synthase F0 subunit 8	2756-2984:1
NC_046401.1	CDS	ATP6	ATP synthase F0 subunit 6	3110-3806:1
NC_046401.1	rRNA		small subunit ribosomal RNA	4215-5490:1
NC_046401.1	CDS	ND2	NADH dehydrogenase subunit 2	5928-7098:1
NC_046401.1	tRNA		tRNA-Met	7373-7444:1
